Field,Value
Recipe Name,Prawn Stock
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,saucier
Prep Time,~30 mins
Dishes,sauces
Description,
Equipment,"Sauce Pot or Stock Pot, Chinois Strainer"
Kitchen Tools,
Recipe Yield Unit,QT
Recipe Yield (Batch x1),14
Recipe Yield (Batch x2),28
Recipe Yield (Batch x3),42
Recipe Yield (Batch x4),56
=== Ingredients ===,
"Shells, Shrimp","Unit: gr, Batch x1: 3000, Batch x2: 6000, Batch x3: 9000, Batch x4: 12000, Prep/Brand: "
"Onion, white spanish","Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: fresh, rough chop"
"Carrot, jumbo","Unit: gr, Batch x1: 700, Batch x2: 1400, Batch x3: 2100, Batch x4: 2800, Prep/Brand: fresh, peeled, rough chop"
"Fennel, bulb","Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: fresh, rough chop"
"Lemon, peel","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: fresh, peel"
"Orange, peel","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: fresh, peel"
"Herbs, Thyme","Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: fresh, herbs"
"Herbs, Tarragon","Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: fresh herbs"
"Herbs, Bay Leaf","Unit: gr, Batch x1: 3, Batch x2: 6, Batch x3: 9, Batch x4: 12, Prep/Brand: fresh herbs"
"Spice, Black Peppercorn whole","Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: spice, whole"
"Water, cold","Unit: gr, Batch x1: 13300, Batch x2: 26600, Batch x3: 39900, Batch x4: 53200, Prep/Brand: cold"
=== Prep Steps ===,
Step 1,Place all ingredients in a sauce or stock pot and cover with the cold water
Step 2,"Bring to a boil, then reduce to a simmer"
Step 3,cook for ~20 minutes.
Step 4,"Remove from heat, strain through a chinoise fine mesh strainer"
Step 5,"Reserve in quart containers, cool in ice bath or blast chiller"
Step 6,Store in the cooler
