Field,Value
Recipe Name,Cocktail Sauce
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Raw Bar / Runners
Prep Time,~5 mins
Dishes,"Shrimp Cocktail, Oysters"
Description,
Equipment,Large mixing bowl
Kitchen Tools,"Whisk, Rubber spatula"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Ketchup,"Unit: gr, Batch x1: 3250, Batch x2: 6500, Batch x3: 9750, Batch x4: 13000, Prep/Brand: Heinz"
Horseradish,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Holy Schmidt"
Lemon Juice,"Unit: gr, Batch x1: 275, Batch x2: 550, Batch x3: 825, Batch x4: 1100, Prep/Brand: Perricone Farms, pasteurized"
Worcestershire Sauce,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: L&P"
Tabasco Hot Sauce,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: Tabasco"
"Spice, Black Pepper ground (Fine)","Unit: gr, Batch x1: 25, Batch x2: 50, Batch x3: 75, Batch x4: 100, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a large mixing bowl, whisk all ingredients until fully incorporated."
Step 2,Reserve in quart containers and store in the cooler
