Field,Value
Recipe Name,Vegan Spicy Miso
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,
Prep Time,~5 mins
Dishes,
Description,
Equipment,Vitamix Blender
Kitchen Tools,"Rubber Spatula, Deli Containers"
Allergies,"Soy, Capsaicin, Nightshade, Citrus"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
"Miso, White Paste","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Homare, TWF"
Sweet Chili,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Mae Ploy"
Mirin,"Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: Takara"
Yuzu Juice,"Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: Muen Yuzuya"
"Sugar, granulated","Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Domino"
=== Prep Steps ===,
Step 1,"In a vitamix blender, combine all ingredients and blend on high until smooth"
Step 2,Reserve in quart containers
Step 3,Store in the cooler
