Field,Value
Recipe Name,Tuna Poke Sauce
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,various
Prep Time,10 minutes
Dishes,Tuna Poke
Description,
Equipment,vitamix blender
Kitchen Tools,"rubber spatula, deli containers"
Allergies,"Nightshade, Capsaicin, Citrus, Honey, Soy, Gluten (wheat)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Aji Amarillo,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Dona Isabela"
"Oil, Grapeseed","Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: Spoleto"
"Sugar, granulated","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Domino"
Calamansi Syrup,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Pick & Squeeze Kalamansi"
Sriracha Hot Sauce,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Huong Ot Sriracha"
Grace Sauce,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: prepped"
Chili Oil,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: prepped"
Honey,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Bear's Club"
Yuzu Juice,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Muen Yuzuya"
Sushi Vinegar,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: prepped"
"Lime Juice, fresh","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: fresh, squeezed"
Xanthan Gum,"Unit: gr, Batch x1: 3, Batch x2: 6, Batch x3: 9, Batch x4: 12, Prep/Brand: "
=== Prep Steps ===,
Step 1,In a vitamix blender combine all ingredients except the xanthan gum
Step 2,Blend on high until smooth and homogenous
Step 3,"Add Xantham Gum slowly, ensuring an even distribution and homogenous mixture."
Step 4,"Check for taste and texture, then reserve to quart containers"
Step 5,Store in the cooler
