Field,Value
Recipe Name,Chicken Bao Buns
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Haute
Stations,Garde Manger
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,3 minutes
Plating Instructions,"Bamboo basket, B&B w/ liner"
Plate Type,
Utensils,
Allergies,"Gluten (wheat), egg, finfish, Cinnamon, Mustard, Capsaicin, Nightshade, Allium (Onion, Garlic), Dairy, "
=== Ingredients ===,
"Chicken, Velvetted and Steamed (x2 ea per order, sometimes x3)","Unit: g, Qty: 45, Prep: prepped"
Chicken Bao Flour,"Unit: tt, Qty: 0, Prep: prepped"
Chicken Bao Batter,"Unit: tt, Qty: 0, Prep: prepped"
"Bao Buns, steamed (sometimes x3 per order)","Unit: ea, Qty: 2, Prep: "
Herb Aioli,"Unit: g, Qty: 9, Prep: prepped"
Iceberg Lettuce Squares,"Unit: g, Qty: 5, Prep: prepped"
Yuzu Sweet Chili Sauce,"Unit: g, Qty: 11, Prep: prepped"
Herb Aioli (in ramekin),"Unit: g, Qty: 35, Prep: prepped"
=== Steps ===,
Step 1,"In a combi or steam oven, cook bao buns in a perforated hotel pan lined with parchment"
Step 2,"Pam Spray between the pan and the paper, and paper and the buns"
Step 3,"Line the hotel pan with buns, cover with another layer of parchment, and repeat"
Step 4,"Cover top layer with damp sport towel, and 3 damp kitchen towels"
Step 5,Maintain the steam oven at ~170° full steam to hot-hold for service
Step 6,"Coat chicken flour, then batter, then flour again and fry at ~350° for 3-5 minutes"
Step 7,"Drain excess oil from chicken, then transfer to medium mixing bowl"
Step 8,Toss with Yuzu Sweet chili sauce
Step 9,"Spread Herb Aioli on buns, line with lettuce and chicken, and plate in bamboo basket"
Step 10,"For orders of 2 ea, serve with ramekin of herb aioli in the bamboo basket"
Step 11,"For orders of 3 ea, serve without ramekin of herb aioli"
Step 12,Serve Immediately
