Field,Value
Recipe Name,Beef Love
Implemented,2024-02-28 00:00:00
Last Revised,
Kitchen,5 days
Stations,inside expo
Menu Type,3-5 hours
Meal Period,various
Meal Type,
Preparation Time,
=== Steps ===,
Step 1,"Strain through a fine mesh siev and store in quart containers, in the cooler."
Step 2,Alternative: place beef fat in a vac bag and place in steam oven or sous vide bath until rendered.  Strain and reserve as well.
Step 3,Beef Love:
Step 4,Combine beef fat renderings and clarified butter in a mixing bowl and whisk together until homogenous.
Step 5,"Reserve in a squeeze bottle in a warm, dry place in the kitchen for service."
Step 6,"To heat up for service, place a sealed deli or squeeze bottle in a warm water bath or steam oven until fully rendered back."
