Field,Value
Recipe Name,Chicken Butter
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Prep
Prep Time,~15 mins
Dishes,Crispy Chicken 
Description,
Equipment,"Robot Coup, small sauce pot, burner range"
Kitchen Tools,"knife, rubber spatula, deli containers"
Recipe Yield Unit,Pastry bags
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
"Butter, unsalted (Room Temperature Butter)","Unit: gr, Batch x1: 454, Batch x2: 908, Batch x3: 1362, Batch x4: 1816, Prep/Brand: Silver Cow, RTB"
Chicken Jus,"Unit: gr, Batch x1: 700, Batch x2: 1400, Batch x3: 2100, Batch x4: 2800, Prep/Brand: prepped, reduce to 450g"
"Spice, Red Chili Flakes","Unit: gr, Batch x1: 4, Batch x2: 8, Batch x3: 12, Batch x4: 16, Prep/Brand: spice, dried"
"Salt, Kosher","Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: Diamond Crystal"
"Herbs, Basil","Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: herbs, fresh, chiffonade"
"Herbs, Parsley","Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: herbs, fresh, chiffonade"
"Herbs, Chives","Unit: gr, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: herbs, fresh, brunoise"
Mother #2,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: prepped"
=== Prep Steps ===,
Step 1,Reduce Chicekn Jus from 700g to 450g
Step 2,"If not at room temperature, cut the butter into tabs"
Step 3,"In a robot coupe, chicken jus and butter and pulse until it becomes a smooth, seasoned butter (spread-like)"
Step 4,Add basil and chili flake and pulse-blend again to evenly distribute
Step 5,"Add half of the parsley, pulse-blend until distributed"
Step 6,Reserve to a mixing bowl and fold in the remaining parsley and chive
Step 7,Add Mother #2 and season with salt to taste.
Step 8,Reserve in Pastry Piping bags and chill in the freezer or blast chiller
Step 9,"Once fully cooled but capable of being squeezed through the bag, cut a half inch diameter hole in the pastry bag"
Step 10,"Pipe on to a sheet tray lengthwise, from edge to edge, then chill in the freezer."
Step 11,Cut pieces 2 inch long and reserve for stuffing chicken breasts
