,Unnamed: 0,Recipe,Unnamed: 2,Unnamed: 3,Unnamed: 4,Wagyu Pickles,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,Implemented ,,,2024-02-28 00:00:00,,,,,,
1,,Created,,,,,,,,,
2,,Shelf Life,,,~5 Days,,,,,,
3,,Stations,,,Inside Expo,,,,,,
4,,Preparation Time,,,~35 minutes,,,,,,
5,,Dishes,,,"Grilled King Crab, Wagyu Hot Rock",,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,Descriptions:,,,,,
9,,,,,,,,,,,
10,,,,,,Equipment,,,,,
11,,,,,,Kitchen Tools,,,,,
12,,,,,,QT,1,2,3,4,Yield:
13,,,Ingredients,,,Unit,Batch x1,Batch x2,Batch x3,Batch x4,Cuts / Prep / Brand
14,,1,Bean Sprouts,,,gr,,0,0,0,Cleaned
15,,2,Daikon,,,gr,,0,0,0,Julienne
16,,3,Carrot,,,gr,,0,0,0,Julienne
17,,4,Negi (green onion),,,gr,,0,0,0,thin sliced
18,,5,"Togarashi, Schichimi",,,gr,,0,0,0,S&B
19,,6,Wagyu Ponzu,,,gr,,0,0,0,prepped
20,,7,,,,gr,,0,0,0,
21,,8,,,,gr,,0,0,0,
22,,9,,,,gr,,0,0,0,
23,,10,,,,gr,,0,0,0,
24,,11,,,,gr,,0,0,0,
25,,12,,,,gr,,0,0,0,
26,,13,,,,gr,,0,0,0,
27,,14,,,,gr,,0,0,0,
28,,15,,,,gr,,0,0,0,
29,,16,,,,gr,,0,0,0,
30,,17,,,,gr,,0,0,0,
31,,18,,,,gr,,0,0,0,
32,,19,,,,gr,,0,0,0,
33,,20,,,,gr,,0,0,0,
34,,,,,,,,,,,
35,,Prep Steps,1),"In a large mixing bowl, combine the three vegetables and cover with wagyu ponzu",,,,,,,
36,,,2),"Allow to ""marinate"" for ~30 minutes",,,,,,,
37,,,3),"Strain out excess Wagyu Ponzu, then return to mixing bowl",,,,,,,
38,,,4),Add negi and togarashi and mix well,,,,,,,
39,,,5),Reserve in deli containers and store in a cooler,,,,,,,
40,,,6),,,,,,,,
41,,,7),,,,,,,,
42,,,8),,,,,,,,
43,,,9),,,,,,,,
44,,,10),,,,,,,,
45,,,11),,,,,,,,
46,,,12),,,,,,,,
47,,Allergies:,,,,,,,,,
48,,"Capsaicin, Nightshade, Sesame, Mustards, Soy, Gluten (Wheat), Allium (onion)",,,,,,,,,
