Field,Value
Recipe Name,Crab Mix
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,2 days
Stations,sushi
Prep Time,10 mins
Dishes,various
Description,
Equipment,
Kitchen Tools,"mixing bowl, deli containers, rubber spatula"
Allergies,"Shellfish (Crustacean), Fish roe, Eggs, Finfish, allium (onion)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Lump Crab Meat,"Unit: gr, Batch x1: 3000, Batch x2: 6000, Batch x3: 9000, Batch x4: 12000, Prep/Brand: Java Crab Lump Crab Meat"
"Mayo, Kewpie","Unit: gr, Batch x1: 1300, Batch x2: 2600, Batch x3: 3900, Batch x4: 5200, Prep/Brand: Kewpie, red label"
"Tobiko, orange","Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: "
"Herbs, chives","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: herb, fresh, chopped"
"Salt, Kosher","Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: Diamond Crystal"
"Spice,  Black Pepper Ground","Unit: gr, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: "
=== Prep Steps ===,
Step 1,"Begin by squeezing all excess water from the crab using a kitchen towel lined with a sports towel, twisting to wring"
Step 2,"In a large mixing bowl, combine all ingredients and mix until homogenous and thoroughly seasoned"
Step 3,Reserve in appropriately sized pans or containers and store in a cooler.
Step 4,NOTE: All ground black pepper needs to be seived first before adding to avoid large pieces of peppercorn
