Field,Value
Recipe Name,Balsamic Kabayaki
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,various
Prep Time,45 mins
Dishes,various
Description,
Equipment,burner range or induction burner
Kitchen Tools,"rondeau, rubber spatula, whisk, deli containers"
Allergies,"Gluten (Wheat), Nightshade (Potat Starch), Soy, MSG"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),8
Recipe Yield (Batch x2),16
Recipe Yield (Batch x3),24
Recipe Yield (Batch x4),32
=== Ingredients ===,
"Vinegar, Balsamic","Unit: gr, Batch x1: 5000, Batch x2: 10000, Batch x3: 15000, Batch x4: 20000, Prep/Brand: "
Kabayaki Unagi Sauce,"Unit: gr, Batch x1: 7500, Batch x2: 15000, Batch x3: 22500, Batch x4: 30000, Prep/Brand: Koikuchi Kabayaki Unagi Sauce"
Mirin,"Unit: gr, Batch x1: 1892, Batch x2: 3784, Batch x3: 5676, Batch x4: 7568, Prep/Brand: Takara"
=== Prep Steps ===,
Step 1,"In a medium sauce pot or rondeau, begin reducing the vinegar and mirin together over low heat."
Step 2,Reduce by half (use scale to check reduction; should be nape and syrup-like)
Step 3,Remove from heat and add the Kabayaki
Step 4,Mix well and cool in ice bath or blast chiller
Step 5,Reserve to quart containers (can be done before cooling)
Step 6,Store in cooler.
