Field,Value
Recipe Name,Lemon Brown Butter
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Inside Expo
Prep Time,~25 mins
Dishes,Sauteed Snapper
Description,
Equipment,"Rondeaux, Vitamix Blender"
Kitchen Tools,Rubber Spatula
Allergies,"Allium (Onion, Garlic), Dairy, Citrus"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),12
Recipe Yield (Batch x2),24
Recipe Yield (Batch x3),36
Recipe Yield (Batch x4),48
=== Ingredients ===,
"Butter, unsalted","Unit: gr, Batch x1: 3628, Batch x2: 7256, Batch x3: 10884, Batch x4: 14512, Prep/Brand: Silver Cow"
Garlic,"Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: fresh, minced"
Shallot,"Unit: gr, Batch x1: 1200, Batch x2: 2400, Batch x3: 3600, Batch x4: 4800, Prep/Brand: fresh, minced"
Calamansi Concentrate,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Kalamansi Pick & Squeeze"
Lemon Juice,"Unit: gr, Batch x1: 1300, Batch x2: 2600, Batch x3: 3900, Batch x4: 5200, Prep/Brand: Perricone Farmes, pastuerized"
"Salt, Kosher","Unit: gr, Batch x1: 130, Batch x2: 260, Batch x3: 390, Batch x4: 520, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"In a medium-large rondeaux, lightly brown butter until bubbles rise and just fall, constantly stir not to burn milk solids"
Step 2,Remove from heat and add shallot and garlic
Step 3,stir constantly until sweated
Step 4,Add calamansi and lemon juice
Step 5,Transfew to a vitamix blender and blender until smooth
Step 6,Cool in quart containers in an ice bath or blast chiller
Step 7,Reserve in cooler
