Field,Value
Recipe Name,Asparagus
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,~3 days
Stations,prep
Prep Time,~30 mins
Dishes,"Truffle Filet, Side of Asparagus"
Description,
Equipment,"burner range, blast chiller"
Kitchen Tools,"knife, stock pot, mixing bowls, sheet trays, 
hotel pans"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Asparagus, jumbo large","Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: "
=== Prep Steps ===,
Step 1,Trim woody stalk off of all asparagus - line up the tips of the spears and cut uniformly
Step 2,"In a pot of water with a rolling boil, season the water with a ratio of 10g to each litre of water used."
Step 3,"Blanch asparagus for ~2 minuts or until bright green, par cooked but not soft, and still a light bite (al dente)"
Step 4,Shock in ice bath
Step 5,"Reserve to sheet trays with resting racks to dry, cool in blast chiller"
Step 6,"Reserve to perforated hotel pans-lined deep hotel pans, to prevent moisture build up"
Step 7,Store in cooler.
