Field,Value
Recipe Name,Sofrito
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Inside Expo
Prep Time,~20 mins
Dishes,Grilled Octopus
Description,
Equipment,"Saute pan, vitamix blender, scale"
Kitchen Tools,Rubber spatula
Allergies,"Nightshade, capsaicin, allium (onion, garlic), Cilantro"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
Sun Dried Tomatoes (SDT),"Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: Aviator brand"
Garlic,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: raw, chopped"
"Herbs, Cilantro","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: fresh herb, chopped"
"Bell Peppers, Red","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: raw, chopped"
EVOO,"Unit: gr, Batch x1: 300, Batch x2: 600, Batch x3: 900, Batch x4: 1200, Prep/Brand: Spoleto"
"Onions, white spanish","Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: raw, chopped"
"Spices, Cayanne Pepper","Unit: gr, Batch x1: 2, Batch x2: 4, Batch x3: 6, Batch x4: 8, Prep/Brand: spice, dried"
"Spices, Paprika","Unit: gr, Batch x1: 5, Batch x2: 10, Batch x3: 15, Batch x4: 20, Prep/Brand: spice, dried"
"Salt, kosher","Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: Diamond Crystal"
Mother #2,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: prepped"
=== Prep Steps ===,
Step 1,"In a small container, rehydrate SDT in hot tea water for ~15 minutes, or until soft"
Step 2,Remove from water and pat dry
Step 3,"In a saute pan, sweat the garlic and onions then add the bell peppers"
Step 4,"Deglaze with Mother #2, then add cilantro"
Step 5,"Blend Tomatoes, cooked onion mixture, spices, and salt on high"
Step 6,Slowly add EVOO to emulsify
Step 7,Ice bath in batches while blending. Critical to cool as soon as possible to maintain bright red orange color.
Step 8,"After all is blended, continue chilling over ice bath until everything is cooled."
Step 9,Reserve in quart containers in the cooler.
