Field,Value
Recipe Name,Chive Oil
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,2 days
Stations,Inside Expo
Prep Time,~5 mins
Dishes,Herb Roasted Branzino
Description,
Equipment,"Vitamix Blender, sauce pot"
Kitchen Tools,"Rubber Spatula, Spider, Towel/Sport/Serviette,
 Deli Containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),3.5
Recipe Yield (Batch x2),7
Recipe Yield (Batch x3),10.5
Recipe Yield (Batch x4),14
=== Ingredients ===,
"Herbs, Chives","Unit: gr, Batch x1: 75, Batch x2: 150, Batch x3: 225, Batch x4: 300, Prep/Brand: hersb, fresh"
"Oil, Blended","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Spoleto"
"Salt, Kosher","Unit: gr, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"In a pot of water, blanch the chives until bright green.  Reserve to Ice Bath to shock."
Step 2,"Squeeze the chives dry using a towel, sport towel, or service napkin"
Step 3,"In a vitamix blender, blend oil with blanched chives and salt.  Blend on high until smooth"
Step 4,"Reserve in quart containers, store in the cooler."
