Field,Value
Recipe Name,Lobster Butter
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,4 weeks (Frozen); 5 Days thawed
Stations,Entremet
Prep Time,~5 mins
Dishes,Cantonese Lobster
Description,
Equipment,Robot Coupe
Kitchen Tools,Deli Containers
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Butter, unsalted","Unit: gr, Batch x1: 906, Batch x2: 1812, Batch x3: 2718, Batch x4: 3624, Prep/Brand: Silver Cow"
"Roe, Lobster","Unit: gr, Batch x1: 224, Batch x2: 448, Batch x3: 672, Batch x4: 896, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a robot coupe, pulse blend the butter and roe together until homogenous"
Step 2,Reserve in quart containers and store in the freezer.
