Field,Value
Recipe Name,Mother #3
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 Days
Stations,Saucier
Prep Time,~5 mins
Dishes,Sauces
Description,
Equipment,"Sauce Pot, burner range"
Kitchen Tools,"rubber spatula, whisk, deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),4
Recipe Yield (Batch x2),8
Recipe Yield (Batch x3),12
Recipe Yield (Batch x4),16
=== Ingredients ===,
"Vinegar, White Distilled","Unit: gr, Batch x1: 3000, Batch x2: 6000, Batch x3: 9000, Batch x4: 12000, Prep/Brand: "
"Sugar, granulated","Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: Domino"
"Salt, Kosher","Unit: gr, Batch x1: 120, Batch x2: 240, Batch x3: 360, Batch x4: 480, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,Combine all ingredients in a sauce pot and heat until sugar has dissolved.
Step 2,Cool in blast chiller or ice bath
Step 3,Reserve in quart containers in the cooler.
