Field,Value
Recipe Name,Crispy Kataifi
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~3 days
Stations,prep
Prep Time,~5 mins
Dishes,Miso Cod Wrap
Description,
Equipment,double fryer
Kitchen Tools,deli containers
Allergies,"Gluten, Diary"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
Kataifi,"Unit: box, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: "
salt,"Unit: tt, Batch x1: 0, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: "
=== Prep Steps ===,
Step 1,Pre-heat fryer to ~350°F
Step 2,"Separate portions of kataifi dough into managable handfuls, seperating strands lightly to avoid cooking together"
Step 3,"Fry in small batches, using a fine mesh spider to remove from fryer."
Step 4,Fry until golden brown and crispy
Step 5,"Reserve to sheet trays lined with resting racks, with paper between fried kataifi and the rack."
Step 6,Season with salt immediately after removing from fryer.
Step 7,Dry out under heat lamps or somwhere warm and dry to drain all excess oil.
Step 8,"Reserve in quart containers in a cool, dry place with silica gel packets and a C-Fold towel on the bottom."
