Field,Value
Recipe Name,Chili Truffle Ponzu
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,
Prep Time,~5 mins
Dishes,
Description,
Equipment,Vitamix Blender
Kitchen Tools,"Rubber Spatula, deli containers"
Allergies,"Soy, Wheat/Gluten, Capsaicin, Allium (Garlic), Seafood, MSG, Mushroom"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
Tosazu,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: prepped"
Truffle Puree,"Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: prepped"
Chili Oil,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: prepped"
"Oil, Truffle Black","Unit: gr, Batch x1: 229, Batch x2: 458, Batch x3: 687, Batch x4: 916, Prep/Brand: Dolce Nero"
=== Prep Steps ===,
Step 1,"Combine all ingredients in a vitamix blender, blend on high until smooth"
Step 2,"Be careful not to over-blend, as sauce may become unstable and split"
Step 3,Reserve to quart containers and store in the cooler
