Field,Value
Recipe Name,Guacamole (2)
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,3 days
Stations,sushi
Prep Time,15 mins
Dishes,trio
Description,
Equipment,Vitamix blender
Kitchen Tools,"Rubber spatula, knife, citrus press, pastry bags"
Allergies,"Stonefruit (Avocado), Ginger, Alcohol (Nitrates)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Avocado,"Unit: gr, Batch x1: 800, Batch x2: 1600, Batch x3: 2400, Batch x4: 3200, Prep/Brand: "
Sushi Vinegar,"Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: prepped"
Lime Juice,"Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: fresh, squeezed"
"Oil, grapeseed","Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: Spoleto"
"salt, kosher","Unit: gr, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"In a vitmaix blender, combine all ingredients until smooth and homogenous"
Step 2,"Store in pastry piping bags, ensuring all product is brought to the point and tied off neatly."
Step 3,Store in a cooler for service.
