Field,Value
Recipe Name,Jalapeno Cucumber
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,3 days
Stations,"Expo, Runners"
Prep Time,~5 mins
Dishes,Simple Grilled Fish
Description,
Equipment,Vitamix blender
Kitchen Tools,"Knife, Rubber Spatula, Deli Containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Jalapeno, seeded","Unit: gr, Batch x1: 1500, Batch x2: 3000, Batch x3: 4500, Batch x4: 6000, Prep/Brand: fresh, seeded"
"Cucumber, seeded","Unit: gr, Batch x1: 350, Batch x2: 700, Batch x3: 1050, Batch x4: 1400, Prep/Brand: fresh, seeded"
"Lemon, juiced","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: fresh, squeezed juice"
"Oil, Grapeseed","Unit: gr, Batch x1: 660, Batch x2: 1320, Batch x3: 1980, Batch x4: 2640, Prep/Brand: Spoleto"
Caramelized Onions,"Unit: gr, Batch x1: 170, Batch x2: 340, Batch x3: 510, Batch x4: 680, Prep/Brand: prepped"
Toasted Garlic,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: prepped"
"Herbs, Cilantro","Unit: gr, Batch x1: 85, Batch x2: 170, Batch x3: 255, Batch x4: 340, Prep/Brand: fresh"
Honey,"Unit: gr, Batch x1: 170, Batch x2: 340, Batch x3: 510, Batch x4: 680, Prep/Brand: Bear's Club Honey"
"Salt, Kosher","Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"Blend garlic, onions, herbs, honey, and lemon juice in a vitamix blender on high until smooth"
Step 2,"Add cucumber and jalapeno in small chunks while blending, gradually"
Step 3,Gradually add in oil to emulsify.  Season with salt to taste.
Step 4,***NOTE: Spice and Saltiness will change based on seasons for jalapeno and cucumbers
Step 5,Reserve in quart containers in the cooler
