Field,Value
Recipe Name,Chicken Bao Velveting
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~5 days
Stations,"prep, butchers"
Prep Time,~12 hours
Dishes,Chicken Bao Buns
Description,
Equipment,Combi oven
Kitchen Tools,"600 Hotel Pans, sheet trays, knife, "
Allergies,"Allium (Garlic, Onion), Nightshade, Eggs"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),
Recipe Yield (Batch x2),
Recipe Yield (Batch x3),
Recipe Yield (Batch x4),
=== Ingredients ===,
"Chicken, Breast ","Unit: lbs, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: Shaved, squared, brined"
Chicken Brine,"Unit: gr, Batch x1: 1800, Batch x2: 3600, Batch x3: 5400, Batch x4: 7200, Prep/Brand: prepped"
Baking Soda,"Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: Clabber Girl"
Corn Starch,"Unit: gr, Batch x1: 454, Batch x2: 908, Batch x3: 1362, Batch x4: 1816, Prep/Brand: Argo"
"Eggs, Large whole","Unit: ea, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: AA, Large"
=== Prep Steps ===,
Step 1,"In a 600 Hotel Pan, mix chicken brine, egg, baking soda, and cornstarch until homogenous"
Step 2,"Add chicken to velvet, mix to coat all pieces of chicken"
Step 3,Rest for ~6-12 hours (overnight preferably).
Step 4,Cook:
Step 5,"Arrange in single layers on perferated hotel pans, matching similar parts of sliced chicken together"
Step 6,"Steam in Combi (212°F, full steam, middle fan)  for ~12 minutes."
Step 7,"Reserve to sheet trays after steaming, allow to cool in blast chiller."
Step 8,Reserve in hotel pans until ready to cut.
