Field,Value
Recipe Name,Togarashi Glaze
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 Days
Stations,"Grill, Inside Expo"
Prep Time,~5 mins
Dishes,Grilled King Crab
Description,
Equipment,Large Mixing Bowl
Kitchen Tools,"Whisk, Rubber Spatula, Deli Containers"
Allergies,"Fin Fish, Shellfish/Crustacean (Crab), Sesame, Capsaicin, Soy, Egg, Wheat, Citrus, Nightshade"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),3
Recipe Yield (Batch x2),6
Recipe Yield (Batch x3),9
Recipe Yield (Batch x4),12
=== Ingredients ===,
"Mayo, Kewpie","Unit: gr, Batch x1: 1500, Batch x2: 3000, Batch x3: 4500, Batch x4: 6000, Prep/Brand: Kewpie, "
Crab Paste,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: Three Deer Brand"
Calamansi Honey,"Unit: gr, Batch x1: 750, Batch x2: 1500, Batch x3: 2250, Batch x4: 3000, Prep/Brand: Kalamansi Pick & Squeeze"
Tobanjan,"Unit: gr, Batch x1: 368, Batch x2: 736, Batch x3: 1104, Batch x4: 1472, Prep/Brand: Youki Tobanjan Chili Paste"
Aji Ponzu,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Ajipon Mizkan"
Shiro Dashi,"Unit: gr, Batch x1: 58, Batch x2: 116, Batch x3: 174, Batch x4: 232, Prep/Brand: Kikkoman Kaori Soup Base"
"Schichimi, Togarashi","Unit: gr, Batch x1: 2, Batch x2: 4, Batch x3: 6, Batch x4: 8, Prep/Brand: S&B Brand"
=== Prep Steps ===,
Step 1,Combine all ingredients in a large mixing bowl
Step 2,Use a whisk to combine until homogenous
Step 3,Reserve in quart containers in the cooler
