Field,Value
Recipe Name,Tosazu
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,
Stations,
Prep Time,
Dishes,
Description,
Equipment,
Kitchen Tools,"cambro containers, deli containers"
Allergies,"Fin Fish, Gluten/Wheat, Alcohol"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),22
Recipe Yield (Batch x2),44
Recipe Yield (Batch x3),66
Recipe Yield (Batch x4),88
=== Ingredients ===,
Soy Sauce,"Unit: gr, Batch x1: 4000, Batch x2: 8000, Batch x3: 12000, Batch x4: 16000, Prep/Brand: Kikkoman, Low Sodium"
Mirin,"Unit: gr, Batch x1: 3000, Batch x2: 6000, Batch x3: 9000, Batch x4: 12000, Prep/Brand: Takara"
Sake,"Unit: gr, Batch x1: 3000, Batch x2: 6000, Batch x3: 9000, Batch x4: 12000, Prep/Brand: Takara"
"Sugar, granulated","Unit: gr, Batch x1: 3000, Batch x2: 6000, Batch x3: 9000, Batch x4: 12000, Prep/Brand: Domino"
Shiro Dashi,"Unit: gr, Batch x1: 1100, Batch x2: 2200, Batch x3: 3300, Batch x4: 4400, Prep/Brand: Kikkoman Kaori Soup Base"
"Katsuo Bushi, Bonito Flakes","Unit: gr, Batch x1: 350, Batch x2: 700, Batch x3: 1050, Batch x4: 1400, Prep/Brand: Miyako Hanakatsuo"
"Konbu, Dashi","Unit: gr, Batch x1: 1130, Batch x2: 2260, Batch x3: 3390, Batch x4: 4520, Prep/Brand: Miyako Dashi Konbu"
=== Prep Steps ===,
Step 1,"In a 22 Qt Cambro container, combine all ingredients."
Step 2,"Reserve in the cooler, strain portions before using."
