Field,Value
Recipe Name,Chili Garlic
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Expo / Runners
Prep Time,~25 mins
Dishes,"Whole Fried Branzino, Simple Grilled Fish"
Description,
Equipment,"Sauce pot or rondeaux, robot coup, burner range"
Kitchen Tools,"Rubber spatula, whisk, small mixing bowl, 
deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),3
Recipe Yield (Batch x2),6
Recipe Yield (Batch x3),9
Recipe Yield (Batch x4),12
=== Ingredients ===,
EVOO,"Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: Spoleto"
Garlic,"Unit: gr, Batch x1: 120, Batch x2: 240, Batch x3: 360, Batch x4: 480, Prep/Brand: fresh, minced (robot coup)"
Ginger,"Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: fresh, minced (robot coup)"
Shallot,"Unit: gr, Batch x1: 160, Batch x2: 320, Batch x3: 480, Batch x4: 640, Prep/Brand: fresh, minced (robot coup)"
Oyster Sauce,"Unit: gr, Batch x1: 300, Batch x2: 600, Batch x3: 900, Batch x4: 1200, Prep/Brand: Lee Kum Kee - Red Panda"
Sambal Chili Paste,"Unit: gr, Batch x1: 70, Batch x2: 140, Batch x3: 210, Batch x4: 280, Prep/Brand: Sambal Oelek"
Soy Sauce,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Kikkoman, Low Sodium"
Fish Sauce,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: Viet Huong ""3 Crabs"""
"Sugar, granulated","Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: Domino"
"Vinegar, Sherry","Unit: gr, Batch x1: 225, Batch x2: 450, Batch x3: 675, Batch x4: 900, Prep/Brand: "
Chicken Stock,"Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: prepped"
Tomato Paste,"Unit: gr, Batch x1: 75, Batch x2: 150, Batch x3: 225, Batch x4: 300, Prep/Brand: Heinz"
Shiro Dashi,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: Kikkoman Kaori Soup Base"
Ketchup,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: Heinz"
"Spice, Red Chili Flakes","Unit: gr, Batch x1: 5, Batch x2: 10, Batch x3: 15, Batch x4: 20, Prep/Brand: spice, dried"
Corn Starch,"Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: Argo"
Water,"Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a sauce pot, sweat the aromatics (ingredient 1-4)"
Step 2,Add ingredients 5-15 to the sauce pot and bring to a boil.
Step 3,"After reaching a boil, reduce heat to a simmer and cook for ~5 mins"
Step 4,"In a small mixing bowl, combine corn starch and water into a slurry and slowly mix into the sauce pot"
Step 5,All to cook for ~5 minuts until the starch slurry activates and is fully incorporated
Step 6,Remove from heat and reserve in quart containers
Step 7,"Chill in the blast chiller or an ice bath, store in the cooler"
