Field,Value
Recipe Name,Scallop Ceviche
Implemented,02.14.24
Last Revised,01.02.24
Kitchen,Sushi
Stations,Crudo
Menu Type,Regular
Meal Period,PM
Meal Type,Cold Dish
Preparation Time,3 minutes
Plating Instructions,"Ice Dish with Tosaka seaweed, decoration, individual scallop shells for serving."
Plate Type,Scallop shell on ice
Utensils,"spoons, mixing bowls"
Allergies,"shellfish, capcasin, alcohol, gluten, allium, ginger"
=== Ingredients ===,
Hokkaido Scallop,"Unit: ea, Qty: 0.75, Prep: cut in 6ths."
kosher salt,"Unit: gr, Qty: 1.0, Prep: "
fresh lime juice,"Unit: gr, Qty: 2.0, Prep: cold lime cheeks"
cilantro chifenade,"Unit: gr, Qty: 0.5, Prep: fine"
Aji Lime Sauce,"Unit: gr, Qty: 20.0, Prep: "
burnt orange,"Unit: gr, Qty: 3.0, Prep: "
pickled starfruit,"Unit: gr, Qty: 3.0, Prep: "
catch furikake,"Unit: gr, Qty: 4.0, Prep: "
maldon,"Unit: gr, Qty: 0.5, Prep: "
micro cilantro sprig,"Unit: ea, Qty: 1.0, Prep: "
=== Steps ===,
Step 1,Plant sudare bamboo decoration and bamboo leaf in ice.
Step 2,"Add tosaka seaweed and kyogi catch signs, set aside."
Step 3,"In a mixing bowl add scallop, lime juice, cilantro chifenade and kosher salt. Mix well"
Step 4,"Add Aji Lime Sauce, mix well and transfer to scallop shell."
Step 5,"Add burnt orange, pickled starfruit, avocado puree, then furikake, maldon and micro cilantro."
Step 6,Place scallop shells over ice bowl to serve.
