Field,Value
Recipe Name,Truffle Butter Filet
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Haute
Stations,Plancha
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,3 minutes
Plating Instructions,"Bamboo basket, B&B w/ liner"
Plate Type,
Utensils,
Allergies,"Allium (Garlic, onion), Capsaicin, soy, gluten (Wheat), nightshade, eggs, MSG, Dairy, Mushrooms "
=== Ingredients ===,
"Beef, Filet Mignon (tied, PSMO)","Unit: oz, Qty: 8, Prep: prepped, butchers"
"Asparagus, blanched","Unit: ea, Qty: 2, Prep: prepped"
Shallot Marmalade Sauce,"Unit: g, Qty: 45, Prep: prepped"
Truffle Butter,"Unit: g, Qty: 28, Prep: prepped"
Crispy Onions,"Unit: g, Qty: 15, Prep: French's"
Steak Seasoning,"Unit: tt, Qty: 0, Prep: prepped"
Chives,"Unit: g, Qty: 1, Prep: prepped, mince"
"oil, canola","Unit: tt, Qty: 0, Prep: Spoleto"
=== Steps ===,
Step 1,Season the filet thoroughly with the Steak Seasoning
Step 2,"Cook over hot part of grill, turning every 1-2 minutes, until a nice crust is created on both sides"
Step 3,Transfer to oven to finish cooking to desired temperature
Step 4,"Season the asparagus with oil, salt, and pepper"
Step 5,Grill the asparagus
Step 6,Cut the asparagus on a bias in half (4 pieces); cut Filet into 8 pieces.
Step 7,"On the Filet Plate, line with seared cedar wood paper in the middle and steak just off center"
Step 8,Opposite side of the steak stagger the asparagus spears off one another on one corner
Step 9,"Cover the filet with shallot marmalade, then top with butter coin.  Melt butter coin with blowtorch"
Step 10,Cover butter with crispy onions and chives
Step 11,Serve immediately.
