Field,Value
Recipe Name,Yuzu Lemon Honey
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,various
Prep Time,15 minutes
Dishes,various
Description,
Equipment,vitamix blender
Kitchen Tools,"rubber spatula, deli containers"
Allergies,"Citrus, Allium (garlic), Honey, Capsaicin, Soy, Gluten (wheat), nightshade"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
White Ponzu,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: prepped"
Ajji Amarillo,"Unit: gr, Batch x1: 12, Batch x2: 24, Batch x3: 36, Batch x4: 48, Prep/Brand: Dona Isabel"
Yuzu Kosho,"Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Blue Yuzu (MTC)"
"Water, filtered","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: "
Calamansi Syrup,"Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: Pick & Squeeze Kalamansi"
Honey,"Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: Bear's Club Extra Light Amber"
Yuzu Juice,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: Muen Yuzuya Yuzu Juice"
"Lemon, juice","Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: fresh squeezed"
"Gari, juice (strained)","Unit: gr, Batch x1: 3, Batch x2: 6, Batch x3: 9, Batch x4: 12, Prep/Brand: Miyako Shiro Gari Amasuzuke"
Xantham Gum,"Unit: gr, Batch x1: 120, Batch x2: 240, Batch x3: 360, Batch x4: 480, Prep/Brand: "
"Oil, Grapeseed","Unit: gr, Batch x1: 90, Batch x2: 180, Batch x3: 270, Batch x4: 360, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,"Add yuzu kosho, aji amarillo, gari juice, and water to a vitamix blender and blend until smooth"
Step 2,"Slowly add the grapeseed oil to the blender while blending, careful to emulsify."
Step 3,"Add the white ponzu, Calamansi syrup yuzu juice and lemon juice to the mixture; continue to blend smooth."
Step 4,"Add xantham gum slowly, ensuring desired consistency and an even mix."
Step 5,Reserve in quart containers and store in a cooler.
