Field,Value
Recipe Name,Parmesan Crumbs
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,~5 days
Stations,Prep
Prep Time,~15 mins
Dishes,Lobster Macaronni
Description,
Equipment,Burner Range
Kitchen Tools,"Rondeau, mixing bowls, sheet trays, deli containers
whisk or rubber spatula"
Allergies,"Dairy, Gluten (Wheat)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Breadcrumbs,"Unit: gr, Batch x1: 550, Batch x2: 1100, Batch x3: 1650, Batch x4: 2200, Prep/Brand: Panko"
"Butter, clarified","Unit: gr, Batch x1: 230, Batch x2: 460, Batch x3: 690, Batch x4: 920, Prep/Brand: Wuthrich"
"Cheese, Parmesan (grated)","Unit: gr, Batch x1: 301, Batch x2: 602, Batch x3: 903, Batch x4: 1204, Prep/Brand: "
=== Prep Steps ===,
Step 1,Heat a rondeau over medium-low heat.
Step 2,Add clarified butter and breadcrumbs
Step 3,"Toast the breadcrumbs for ~20 minutes, or until golden brown"
Step 4,Reserve to mixing bowl and add cheese.
Step 5,Mix thoroughly and reserve to sheet tray to cool to room temp
Step 6,"Once cooled, reserve to quart containers in a cool, dry place in the kitchen or storage room."
