Field,Value
Recipe Name,Truffle Puree
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,various
Prep Time,10 minutes
Dishes,truffle sashimi
Description,
Equipment,vitamix blender
Kitchen Tools,"rubber spatula, deli containers"
Allergies,Mushroom
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Truffle, Peelings","Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Black Diamond Caviar"
"Oil, Black Truffle","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Urbani Tartufi"
Sushi Vinegar,"Unit: gr, Batch x1: 227, Batch x2: 454, Batch x3: 681, Batch x4: 908, Prep/Brand: prepped"
Xanthan Gum,"Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a vitamix blender, add the truffle shavings and vinegar and blend on high until smooth."
Step 2,"Once smooth and homogenous, slowly add the oil to emulsify."
Step 3,"While still blending, add xantham gum last, until combined and to the desired consistency."
Step 4,Reserve to quart containers and store in the cooler.
