Field,Value
Recipe Name,Basmati Cream
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Entremet
Prep Time,~10 mins
Dishes,"Herb Branzino, Side of Basmati Rice"
Description,
Equipment,stock pot
Kitchen Tools,deli containers
Allergies,"Dairy, Citrus, Allium (onion, garlic)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),11
Recipe Yield (Batch x2),22
Recipe Yield (Batch x3),33
Recipe Yield (Batch x4),44
=== Ingredients ===,
"Cream, Heavy Whipping 40%","Unit: gr, Batch x1: 1600, Batch x2: 3200, Batch x3: 4800, Batch x4: 6400, Prep/Brand: Grand Reserve"
Chicken Stock,"Unit: qt, Batch x1: 8, Batch x2: 16, Batch x3: 24, Batch x4: 32, Prep/Brand: prepped"
Mother #3,"Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: prepped"
"Salt, Kosher","Unit: gr, Batch x1: 240, Batch x2: 480, Batch x3: 720, Batch x4: 960, Prep/Brand: Diamond Crystal"
"Lemon, Juice","Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Perricone, pasturized bottle"
=== Prep Steps ===,
Step 1,"Combine all ingredients in a stock pot, bring to a boil"
Step 2,"Once boiled, reduce heat to a simmer; simmer ~5 mins"
Step 3,Ice bath or blast chill till cold.
Step 4,Reserve in quart containers in cooler.
