Field,Value
Recipe Name,Yuzu Miso
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,various
Prep Time,10 mins
Dishes,Off White Roll
Description,
Equipment,vitamix blender
Kitchen Tools,"rubber spatula, deli containers"
Allergies,"Nightshade, Capsaicin, Allium (Garlic), Gluten (Wheat), Soy, Citrus, Honey"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Miso, White","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Homare (True World)"
Yuzu Juice,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: Muen Yuzuya"
Sushi vinegar,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: prepped"
Honey,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: Bear's Club Honey"
Calamansi Syrup,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: Pick & Squeeze Kalamansi"
Lime Juice,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: fresh,squeezed"
Sriracha Hot Sauce,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: Tuong Ot Sriracha"
Chili Oil,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: prepped"
Sweet Chili,"Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: Mae Ploy"
White Ponzu,"Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: prepped"
"Oil, Grapeseed","Unit: gr, Batch x1: 160, Batch x2: 320, Batch x3: 480, Batch x4: 640, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,"In a vitamix blender, combine all ingredients except the grapeseed oil"
Step 2,Blend on high until smooth
Step 3,"Once homogenous, with the blender still running, add the grapeseed oil slowly to emulsify"
Step 4,Reserve to quart containers
Step 5,Store in the cooler.
