Field,Value
Recipe Name,Cipollini Braised
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~1 hour
Dishes,Porterhouse
Description,
Equipment,"Blodget (convection oven), Plancha, burner range"
Kitchen Tools,"Sheet trays, resting racks, 200 Hotel Pans"
Allergies,"Allium (onions), Sulfites, Dairy"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Cipollini, medium white peeled","Unit: ea, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: "
"Wine, Red","Unit: gr, Batch x1: 2600, Batch x2: 5200, Batch x3: 7800, Batch x4: 10400, Prep/Brand: "
"Sugar, Granulated","Unit: gr, Batch x1: 700, Batch x2: 1400, Batch x3: 2100, Batch x4: 2800, Prep/Brand: Domino"
"Butter, unsalted","Unit: gr, Batch x1: 230, Batch x2: 460, Batch x3: 690, Batch x4: 920, Prep/Brand: Silver cow, cold, cut into tabs"
"Herbs, Thyme","Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: Herbs, fresh"
"Herbs, Rosemary","Unit: gr, Batch x1: 6, Batch x2: 12, Batch x3: 18, Batch x4: 24, Prep/Brand: Herbs, fresh"
"Herbs, Bay Leaf","Unit: gr, Batch x1: 2, Batch x2: 4, Batch x3: 6, Batch x4: 8, Prep/Brand: Herbs, dry"
"Vinegar, Red Wine","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: "
"Salt, Kosher","Unit: gr, Batch x1: 3, Batch x2: 6, Batch x3: 9, Batch x4: 12, Prep/Brand: Diamond Crystal"
"Oil, Blended","Unit: gr, Batch x1: 113, Batch x2: 226, Batch x3: 339, Batch x4: 452, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,"Combine Red wine, sugar, bay leaf, thyme, rosemary and vinegar to a small sauce pot and reduce by half over low heat"
Step 2,"Once reduced, remove from heat and season with salt."
Step 3,"Preheat the plancha over medium-high heat, then season with canola oil"
Step 4,"Sear cipollini onions on plancha, cut side down, to a nice caramelization.  Flip and repeat.  Use extra oil as necessary."
Step 5,"Reserve seared onions to 200 Hotel Pan in a even layer, cover with red wine reduction."
Step 6,Add the tabs of butter sporadically around the onions
Step 7,"In a preheated convection oven set to ~400°F low fan, braise uncovered for ~35 minutes or until tender but al dente"
Step 8,"Remove from oven and cool to room temp, then cool in blast chiller."
Step 9,"Remove onions from braising liquid and reserve on resting racks over sheet trays in speed rack, uncovered for ~12 hours"
Step 10,"After ~12 hours, cover sheet trays to prevent excessive drying."
