Field,Value
Recipe Name,Oven Roasted Tomatoes
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~3 hours
Dishes,Sashimi Pizza
Description,
Equipment,"Double fryer, convection oven"
Kitchen Tools,"sheet tray, resting rack, deli containers"
Allergies,"Nightshade, allium (Garlic)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Tomatoes, Roma XL","Unit: lbs, Batch x1: 25, Batch x2: 50, Batch x3: 75, Batch x4: 100, Prep/Brand: fresh, quartered and seeded"
"Sugar, granulated","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Domino"
Toasted Garlic,"Unit: gr, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: prepped"
"Salt, kosher","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Diamond Crystal"
"Herb, thyme","Unit: gr, Batch x1: 26, Batch x2: 52, Batch x3: 78, Batch x4: 104, Prep/Brand: herbs, fresh"
"Spice, Black Pepper fine ground","Unit: gr, Batch x1: 3, Batch x2: 6, Batch x3: 9, Batch x4: 12, Prep/Brand: spice, dry"
Garlic Oil,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: prepped (Toasted Garlic)"
=== Prep Steps ===,
Step 1,Set fryer to ~350°F and blister tomatoes until skin can be peeled off.
Step 2,"Remove tomatoes, peel and cut into quarters.  Discard skins and seeds, leaving all tomato flesh"
Step 3,"Toss tomato quartes with salt, sugar, garlic, thyme, black pepper and oil."
Step 4,Line sheet trays with resting racks and place tomatoes on racks.
Step 5,"In convection oven set to ~225°F low fan, bake tomatoes until dehydrated with light colour on endes ~2 hours"
Step 6,Rotate every half hour.
Step 7,Remove from sheet trays and cool in a blast chiller.
Step 8,Reserve in quart containers in the cooler.
