Field,Value
Recipe Name,Lobster Stock
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,
Stations,
Prep Time,
Dishes,
Description,
Equipment,"Tilt Skillet, Stir Paddle, "
Kitchen Tools,"Cambro Containers, Chinois, Rubber Spatula"
Allergies,"Nightshade, allium (garlic, onion), Shellfish / Lobster / Crustacean"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),44
Recipe Yield (Batch x2),88
Recipe Yield (Batch x3),132
Recipe Yield (Batch x4),176
=== Ingredients ===,
"Lobster Bodies, cleaned","Unit: lbs, Batch x1: 90, Batch x2: 180, Batch x3: 270, Batch x4: 360, Prep/Brand: "
"Onion, white spanish","Unit: gr, Batch x1: 4500, Batch x2: 9000, Batch x3: 13500, Batch x4: 18000, Prep/Brand: quartered"
"Carrot, jumbo","Unit: gr, Batch x1: 2500, Batch x2: 5000, Batch x3: 7500, Batch x4: 10000, Prep/Brand: quartered"
Tomato Paste,"Unit: gr, Batch x1: 2700, Batch x2: 5400, Batch x3: 8100, Batch x4: 10800, Prep/Brand: Heinz"
Garlic,"Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: fresh, whole"
"Spice, Black Peppercorn whole","Unit: gr, Batch x1: 146, Batch x2: 292, Batch x3: 438, Batch x4: 584, Prep/Brand: Chefs Warehouse, bulk"
White Wine,"Unit: qt, Batch x1: 6, Batch x2: 12, Batch x3: 18, Batch x4: 24, Prep/Brand: Franzia, box wine"
Water,"Unit: qt, Batch x1: 66, Batch x2: 132, Batch x3: 198, Batch x4: 264, Prep/Brand: "
Bay Leaves,"Unit: gr, Batch x1: 5, Batch x2: 10, Batch x3: 15, Batch x4: 20, Prep/Brand: "
"Oil, blended","Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,"In the tilt skillet, set to 425°F and add oil once warmed enough to sautee"
Step 2,"Add onions, carrots, and garlic and sweat"
Step 3,"Add lobster bodies and cook until the lobster shells begin turning colour, stirring constantly"
Step 4,Deglaze with White Wine and cook until wine aroma is cooked off
Step 5,Add dried spices and tomato paste and stir
Step 6,"Add water immediately, bring to a boil"
Step 7,"Once boil reached, cover the tilt skillet, reduce heat to 325°F and allow to cook for ~45 minutes"
Step 8,"After the 45 minutes, crush the bodies using the tilt skillet paddle (after the boiling, they should be tender enough to do)"
Step 9,"Strain through a chinoise, ensuring to crush and press as much of the bodies as possible."
Step 10,Reserve in 22 quart Cambro containers and cool in blast chiller or ice bath.
Step 11,Reserve in cooler.
