Field,Value
Recipe Name,Ikura Marinade
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,1 week
Stations,sushi
Prep Time,40 mins
Dishes,Salmon Ikura Roll
Description,
Equipment,
Kitchen Tools,"mixing bowl (medium), bowl strainer,
 deli containers."
Allergies,"Soy, Gluten (Wheat), Finfish, Fish Roe, Alcohol (Nitrates)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Ikura,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: "
Tosazu,"Unit: gr, Batch x1: 448, Batch x2: 896, Batch x3: 1344, Batch x4: 1792, Prep/Brand: prepped"
=== Prep Steps ===,
Step 1,Thaw frozen ikura out one day in advance in cooler
Step 2,"Rinse ikura in a smaller, fine bowl strainer (similar to the rice strainers)."
Step 3,"Rinse until the broken egg skins float to the top of the water, discard broken skins (gently stir to allow movement)"
Step 4,"After broken skins are filtered out, strain ikura"
Step 5,"In a bowl, add ikura and tosazu and marinate for ~20 minutes."
Step 6,"After marinade timing, strain tosazu and reserve ikura in pint containers."
Step 7,Store in the cooler
