Field,Value
Recipe Name,Caper Buerre Blanc
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Inside Expo
Prep Time,~5 mins
Dishes,Salmon Agrodolce
Description,
Equipment,"Microscale, Robot Coupe"
Kitchen Tools,"Knife, rubber spatula, deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2.66667
Recipe Yield (Batch x2),5.33334
Recipe Yield (Batch x3),8.00001
Recipe Yield (Batch x4),10.66668
=== Ingredients ===,
Buerre Blanc Reduction,"Unit: gr, Batch x1: 150.0, Batch x2: 300.0, Batch x3: 450.0, Batch x4: 600.0, Prep/Brand: prepped"
"Cream, Heavy Whipping 40%","Unit: gr, Batch x1: 80.0, Batch x2: 160.0, Batch x3: 240.0, Batch x4: 320.0, Prep/Brand: Grand Reserve"
"Butter, Unsalted","Unit: gr, Batch x1: 950.0, Batch x2: 1900.0, Batch x3: 2850.0, Batch x4: 3800.0, Prep/Brand: Silver Cow"
Caper Brine,"Unit: gr, Batch x1: 40.0, Batch x2: 80.0, Batch x3: 120.0, Batch x4: 160.0, Prep/Brand: Boboris, Non-Pareil Capers"
Lemon Juice,"Unit: gr, Batch x1: 40.0, Batch x2: 80.0, Batch x3: 120.0, Batch x4: 160.0, Prep/Brand: Perricone Farms, pastuerized"
"Salt, Kosher","Unit: gr, Batch x1: 6.0, Batch x2: 12.0, Batch x3: 18.0, Batch x4: 24.0, Prep/Brand: Diamond Crystal"
"Capers, chopped","Unit: gr, Batch x1: 180.0, Batch x2: 360.0, Batch x3: 540.0, Batch x4: 720.0, Prep/Brand: Boboris, Non-Pareil Capers"
Prawn Stock,"Unit: gr, Batch x1: 50.0, Batch x2: 100.0, Batch x3: 150.0, Batch x4: 200.0, Prep/Brand: prepped"
Xantham gum,"Unit: gr, Batch x1: 1.4, Batch x2: 2.8, Batch x3: 4.199999999999999, Batch x4: 5.6, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a robot coupe, add all ingredients except the butter and capers."
Step 2,Pulse-blend the robot coupe until the mixture comes together similarly to mayonaise
Step 3,"Once it looks like Mayo, add butter slowly one tab at a time. "
Step 4,Continue pulse-blending until homogenous
Step 5,"Add capers last, pulsing the robot coupe only to combine"
Step 6,Reserve in quart containers in the cooler
