Field,Value
Recipe Name,Grace Sauce
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,various
Prep Time,
Dishes,Blue King roll
Description,
Equipment,vitamix blender
Kitchen Tools,"rubber spatula, deli containers"
Allergies,"Nightshade, Soy, Gluten (wheat), Citrus, "
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Sweet Chili,"Unit: gr, Batch x1: 300, Batch x2: 600, Batch x3: 900, Batch x4: 1200, Prep/Brand: Mae Ploy"
White Ponzu,"Unit: gr, Batch x1: 300, Batch x2: 600, Batch x3: 900, Batch x4: 1200, Prep/Brand: prepped"
Yuzu Juice,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Muen Yuzuya"
=== Prep Steps ===,
Step 1,"In a vitamix blender, begin by blending the Sweet Chili until smooth and no seeds remain"
Step 2,Add the other ingredients and continue blending smooth.
Step 3,Reserve to deli containers
Step 4,Store in the cooler.
