Field,Value
Recipe Name,Sunflower Seeds Toasted
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,5 days
Stations,Garde Manger
Prep Time,~10 mins
Dishes,Baby Gem Salad
Description,
Equipment,blodget oven
Kitchen Tools,"sheet tray (half or full), deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Sunflower Seeds, unsalted","Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: "
Pam Spray,"Unit: tt, Batch x1: 0, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: "
"Salt, Kosher","Unit: tt, Batch x1: 0, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"Pre heat a convection oven or deck oven to ~375°F, high fan"
Step 2,"On a sheet tray, spread out a thin single layer of sunflower seeds"
Step 3,Spray the seeds with a liberal coating of Pam Nonstick Spray
Step 4,Season lightly with kosher salt
Step 5,"Bake for ~5-10 minutes, until lightly toasted and fragrant"
Step 6,"Allow to cool to room temp, reserve in quart containers with a C Fold lined on the bottom."
Step 7,"Store in a cool, Dry place."
