Field,Value
Recipe Name,Asparagus Spears
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,2 days
Stations,sushi
Prep Time,20 mins
Dishes,Earth & Turf
Description,
Equipment,grill
Kitchen Tools,"Small stock pot or sauce pot, spider, mixing bowl, seasoning tray, tongs, deli containers"
Recipe Yield Unit,order
Recipe Yield (Batch x1),8
Recipe Yield (Batch x2),16
Recipe Yield (Batch x3),24
Recipe Yield (Batch x4),32
=== Ingredients ===,
"Asparagus, cleaned and cut","Unit: ea, Batch x1: 12, Batch x2: 24, Batch x3: 36, Batch x4: 48, Prep/Brand: fresh, jumbo "
"Salt, Kosher","Unit: gr, Batch x1: 2, Batch x2: 4, Batch x3: 6, Batch x4: 8, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"Blanch asparagus in salted water until bright, with a slight bite or snap"
Step 2,"Shock in ice water until fully cold, then reserve to dry towels and pat dry"
Step 3,Lightly cover with oil and season with kosher salt
Step 4,"Pre-heat the grill, then grill until tender and some caramelization shows"
Step 5,Remove from heat and allow to cool
Step 6,"Cut into batons 11cm long (the length of a half sheet of nori, uramaki style)"
Step 7,"reserve in quart containers, store in the cooler."
