Field,Value
Recipe Name,Lemon Confit
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~1 hour
Dishes,various
Description,
Equipment,burner range
Kitchen Tools,"small sauce pots, strainers, peeler"
Allergies,"Honey, Citrus"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),3
Recipe Yield (Batch x2),6
Recipe Yield (Batch x3),9
Recipe Yield (Batch x4),12
=== Ingredients ===,
"Lemons, skins","Unit: case, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: fresh, peels (no pith)"
"Salt, kosher","Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: Diamond Crystal"
"Honey, Calamansi","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Pick & Squeeze Kalamansi"
Lemon Juice,"Unit: gr, Batch x1: 700, Batch x2: 1400, Batch x3: 2100, Batch x4: 2800, Prep/Brand: fresh, squeezed"
Water,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: "
=== Prep Steps ===,
Step 1,"Peel lemons, being careful not to peel pith (will cause bitterness)."
Step 2,"In a small pot, fill with lemon peels and cold water (not part of mis en place).  Bring to a boil."
Step 3,"Once boiled, strain water and fill with cold water again.  Repeat x2 (x3 blanches in total)."
Step 4,"After third blanch, strain water and add other ingredients."
Step 5,"Over medium heat, bring to a simmer then reduce heat to maintain simmer for ~45 mins."
Step 6,Peels should be very tender and have a complex taste.
Step 7,"Strain liquid from solid peels, reserve each seperately in quart containers in the cooler."
