Field,Value
Recipe Name,Crispy Potato Hash - Gold
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,5 days
Stations,sushi
Prep Time,3 mins
Dishes,Earth & Turf 
Description,
Equipment,
Kitchen Tools,"mixing bowl, deli containers, silica gel packets"
Allergies,"Nightshade, capsaicin"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Crispy Potato Hash - Fine,"Unit: gr, Batch x1: 448, Batch x2: 896, Batch x3: 1344, Batch x4: 1792, Prep/Brand: prep"
Gold Dust,"Unit: gr, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a mixing bowl, combine Crispy Potato Hash with gold dust"
Step 2,Lightly toss until gold coats all of the potatoes
Step 3,Reserve in pint or quart delis with a asilaca gel packet and a C Fold towel lined on the bottom.
