Field,Value
Recipe Name,Croutons
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,"~2 months (Freezer),. ~1 day baked"
Stations,prep / garde manger
Prep Time,~ 15 mins
Dishes,Baby Gem Salad
Description,
Equipment,"blodget oven, freezer"
Kitchen Tools,"bread knife, mixing bowl, sheet trays"
Allergies,"Gluten, Capsaicin, Allium (Garlic),"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Bread, Sour Dough Sliced (diced, 1x1x1 cm)","Unit: gr, Batch x1: 280, Batch x2: 560, Batch x3: 840, Batch x4: 1120, Prep/Brand: "
"Spice, Aleppo Pepper","Unit: gr, Batch x1: 28, Batch x2: 56, Batch x3: 84, Batch x4: 112, Prep/Brand: "
"Oil, Garlic (from the Toasted Garlic)","Unit: gr, Batch x1: 70, Batch x2: 140, Batch x3: 210, Batch x4: 280, Prep/Brand: Prepped"
Nutritional Yeast,"Unit: gr, Batch x1: 28, Batch x2: 56, Batch x3: 84, Batch x4: 112, Prep/Brand: "
=== Prep Steps ===,
Step 1,Bread should be frozen to start.  Cut bread into even cubes/dice by spec.  Reserve in ziplock bags in the freezer
Step 2,To Cook:
Step 3,Take cubes of bread out of freezer and allow to come to room temp.
Step 4,"Toss with seasoning, then lay out on sheet tray in a single layer, not too close together."
Step 5,"In a preheated convcetion oven, ~350°F high fan, bake for ~10 minutes"
Step 6,"5 minutes in, rotate sheet tray and shake croutons to ensure even baking."
Step 7,"Croutons should be crunchy, golden brown."
Step 8,Reserve to appropriate containers and reserve for service.
