Field,Value
Recipe Name,Truffle Puree (2)
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Inside Expo
Prep Time,~25 mins
Dishes,Sauteed Snapper
Description,
Equipment,"Vitamix blender, small sauce pan, burner range"
Kitchen Tools,"rubber spatula, knife, "
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
"Black Truffle Peelings, canned","Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Urbani Tartufi"
Shallots,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: fresh, minced"
Garlic,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: fresh, sliced"
"Oil, Truffle Black","Unit: gr, Batch x1: 220, Batch x2: 440, Batch x3: 660, Batch x4: 880, Prep/Brand: Dolce Nero"
"Wine, White boxed","Unit: gr, Batch x1: 700, Batch x2: 1400, Batch x3: 2100, Batch x4: 2800, Prep/Brand: Franzia, boxed white wine"
"Salt, Kosher","Unit: gr, Batch x1: 25, Batch x2: 50, Batch x3: 75, Batch x4: 100, Prep/Brand: Diamond Crystal"
Shiro Dashi,"Unit: gr, Batch x1: 75, Batch x2: 150, Batch x3: 225, Batch x4: 300, Prep/Brand: Kikkoman Kaori Soup Base"
Water,"Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: "
EVOO,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,"In a sauce pan over high heat add shallots, garlic, and truffle peelings; sweat until tender"
Step 2,add remaining ingredients except water and reduce by half
Step 3,"once reduced by half, puree in a vitamix blender and add water as necessary to create a smooth paste"
Step 4,Reserve in quart containers and cool in the blast chiller or ice bath
Step 5,Store in the cooler
