Field,Value
Recipe Name,Brussel Sprouts
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~45 mins
Dishes,
Description,
Equipment,Blodget oven
Kitchen Tools,"Knife, sheet trays, large mixing bowl"
Allergies,Mustards
Recipe Yield Unit,Hotel Pan
Recipe Yield (Batch x1),0.5
Recipe Yield (Batch x2),1
Recipe Yield (Batch x3),1.5
Recipe Yield (Batch x4),2
=== Ingredients ===,
"Sprouts, Brussels","Unit: lbs, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: cut quartered or halved"
"Oil, Blended Oil","Unit: tt, Batch x1: 0, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Spoleto"
"Salt, Kosher","Unit: tt, Batch x1: 0, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"In a large mixing bowl or other apprropriate container, toss sprouts with oil and season lightly with salt"
Step 2,"On sheet trays, spread sprouts out in a single layer not too close together"
Step 3,"In a preheated ~500°F , "
Step 4,"In a preheated convection oven,  ~500°F high fan, roast the sprouts until caramelized and tender (but not soft)"
Step 5,Remove from oven and cool to room temperature or in a blast chiller.
Step 6,Reserve in hotel pans and store in the cooler.
