Field,Value
Recipe Name,Maple Miso Glaze
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Wok
Prep Time,~15 mins
Dishes,Cod Wrap
Description,
Equipment,"Burner Range, Vitamix Blender"
Kitchen Tools,"Rubber Spatula, Whisk, sauce pot, deli containers"
Allergies,"Nightshade, allium (garlic, onion), soy, gluten (wheat)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Miso, White Paste","Unit: gr, Batch x1: 1200, Batch x2: 2400, Batch x3: 3600, Batch x4: 4800, Prep/Brand: Homare (TWF)"
"Sugar, granulated","Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Domino"
Tobanjan,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: Mutual Tradion ""Youki"""
MSG,"Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: Vet Sin MSG"
Maple Syrup,"Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: Pure Pennsylvania Maple Syrup"
Sake,"Unit: gr, Batch x1: 490, Batch x2: 980, Batch x3: 1470, Batch x4: 1960, Prep/Brand: Takara"
Hoisin,"Unit: gr, Batch x1: 560, Batch x2: 1120, Batch x3: 1680, Batch x4: 2240, Prep/Brand: Lee Kum Kee purple can"
Ginger,"Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: fresh, peeled and sliced"
Garlic,"Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: sliced"
=== Prep Steps ===,
Step 1,"In a sauce pot, flambe the sake and cook the alcohol out"
Step 2,Add in the other ingredients and cook until thoroughly warmed and mixed
Step 3,Transfer to the vitamix blender and blend on high until smooth
Step 4,Reserve in quart containers and cool in the blast chiller or an ice bath.
Step 5,Store in the cooler
