Field,Value
Recipe Name,Steak Sauce
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Expo / Runners / Inside Expo
Prep Time,~45 mins
Dishes,Steaks
Description,
Equipment,Burner Range
Kitchen Tools,"Small rondeaux, rubber spatula, whisk,
deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2.5
Recipe Yield (Batch x2),5
Recipe Yield (Batch x3),7.5
Recipe Yield (Batch x4),10
=== Ingredients ===,
"Oil, Blended","Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: Spoleto"
"Onion, spanish white","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: rough chop"
Fish Sauce,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: Viet Huong, ""3 Crabs"
Worcestershire Sauce,"Unit: gr, Batch x1: 375, Batch x2: 750, Batch x3: 1125, Batch x4: 1500, Prep/Brand: Lea Perrins"
"Sugar, granulated","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Domino"
"Spice, Garlic Powder","Unit: gr, Batch x1: 25, Batch x2: 50, Batch x3: 75, Batch x4: 100, Prep/Brand: "
Ketchup,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Heinz"
Molasses,"Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: Grandma's Unsulphured"
Horseradish,"Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: Gold's Horseradish"
"Mustard, Dijon","Unit: gr, Batch x1: 75, Batch x2: 150, Batch x3: 225, Batch x4: 300, Prep/Brand: Maille Dijon"
"Spice, Black Peppercorn ground","Unit: gr, Batch x1: 5, Batch x2: 10, Batch x3: 15, Batch x4: 20, Prep/Brand: "
Tabasco,"Unit: gr, Batch x1: 25, Batch x2: 50, Batch x3: 75, Batch x4: 100, Prep/Brand: Tabasco"
"Vinegar, white","Unit: gr, Batch x1: 180, Batch x2: 360, Batch x3: 540, Batch x4: 720, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a medium-small rondeaux, sweat onions in oil until soft"
Step 2,"Add worcestershire sauce and fish sauce, reduce until sec"
Step 3,"On low heat, add the sugar and cook down to a syrup"
Step 4,Cool and mix in the rest of the ingredients
Step 5,Reserve to quart containers and store in the cooler.
