Field,Value
Recipe Name,Tempura Crumble
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,4 days
Stations,prep
Prep Time,20 mins
Dishes,various
Description,
Equipment,double fryer
Kitchen Tools,"Perforated hotel pan, hotel pan, fryer spider"
Allergies,Gluten (Wheat)
Recipe Yield Unit,gr
Recipe Yield (Batch x1),6000
Recipe Yield (Batch x2),12000
Recipe Yield (Batch x3),18000
Recipe Yield (Batch x4),24000
=== Ingredients ===,
"Flour, Tempura","Unit: bag, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: Nippon Tempura Flour"
Water,"Unit: qt, Batch x1: 6, Batch x2: 12, Batch x3: 18, Batch x4: 24, Prep/Brand: "
Salt,"Unit: gr, Batch x1: 4, Batch x2: 8, Batch x3: 12, Batch x4: 16, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"Mix all ingredients well, ensuring all flour is smooth and no clumps."
Step 2,Set fryer to ~320°F
Step 3,"With a ladle, pour the tempura mixture into the fryer at a steady, slow stream to ensure crumb/flakes are created"
Step 4,"Fry until crispy, slightly golden.  Use a fine mesh strainer to gather and remove from fryer."
Step 5,"Before reserving to a perforated hotel pan over a full hotel pan, ensure all excess oil is dripped from the crumble"
Step 6,"Allow to cool in a safe manner, sure not to over-pile and allow a fire to smolder in the hot flakes."
Step 7,Reserve to appropriate containers lined with sport towels.
Step 8,"Store in a cool, dry place."
